EmployeeID,Age,Department,YearsExperience,PerformanceScore,MonthlySalary,TrainingHours,PromotionLast5Years
1,59,Finance,32,4,13793,81,Yes
2,49,Finance,8,3,6423,81,No
3,35,Finance,33,3,12888,45,Yes
4,28,IT,29,4,14849,34,No
5,41,HR,19,3,6976,73,Yes
6,59,Operations,22,2,4398,22,No
7,39,Operations,34,1,8361,108,No
8,43,HR,22,4,4401,85,Yes
9,31,Operations,22,5,12900,43,Yes
10,31,HR,22,4,4412,8,Yes
11,44,IT,27,4,9430,31,No
12,56,IT,18,1,6230,89,No
13,44,IT,29,5,10521,92,Yes
14,23,HR,20,1,8849,58,Yes
15,42,HR,23,3,13694,41,No
16,22,Marketing,20,4,9056,61,Yes
17,44,Operations,25,1,7722,18,Yes
18,50,Operations,25,2,11109,111,No
19,58,Marketing,32,4,4264,92,Yes
20,22,Marketing,3,3,5259,116,No
21,41,IT,8,1,3362,34,Yes
22,53,Marketing,7,1,13837,75,Yes
23,32,HR,1,2,9276,7,Yes
24,42,Finance,28,3,12724,88,Yes
25,45,HR,22,2,9420,90,No
26,47,Marketing,5,4,8384,110,Yes
27,48,Operations,20,5,9748,42,Yes
28,36,HR,21,1,12575,118,Yes
29,35,Operations,8,2,10831,44,Yes
30,23,HR,33,1,3666,5,Yes
31,57,Operations,25,1,5812,12,No
32,27,HR,0,2,5475,10,No
33,41,Operations,4,1,9973,101,No
34,29,Finance,21,3,6100,69,Yes
35,59,IT,3,3,6401,68,No
36,38,HR,1,5,8015,6,Yes
37,24,Finance,15,3,14297,54,No
38,45,IT,15,2,5551,54,No
39,34,HR,21,3,5151,18,Yes
40,29,Finance,0,5,9637,106,No
41,46,Finance,14,4,3387,5,Yes
42,22,Finance,23,4,8864,88,No
43,40,Marketing,3,2,6161,8,Yes
44,48,Operations,17,5,5380,19,Yes
45,27,IT,16,3,11568,24,Yes
46,28,Operations,6,5,7335,49,Yes
47,55,Operations,9,1,4280,71,Yes
48,34,Operations,0,5,3743,49,Yes
49,37,Finance,1,3,10356,100,No
50,56,Operations,21,2,6486,37,Yes
51,24,Marketing,31,1,11023,65,No
52,22,HR,28,5,4068,56,No
53,26,Finance,34,4,12200,21,Yes
54,24,IT,16,3,9971,55,Yes
55,49,HR,11,2,10526,35,No
56,38,HR,23,3,11534,50,No
57,46,HR,29,5,14475,67,Yes
58,54,Operations,29,2,3630,111,Yes
59,30,Operations,19,4,3297,0,No
60,56,Finance,6,1,11148,47,No
61,34,Operations,6,5,11889,32,No
62,51,Operations,29,2,8316,23,Yes
63,35,Operations,11,1,4505,48,Yes
64,28,Finance,30,2,13952,68,No
65,34,Finance,17,5,5825,57,No
66,43,Marketing,1,2,11570,47,Yes
67,41,Marketing,32,4,13987,56,No
68,36,Marketing,10,2,11897,63,Yes
69,38,Marketing,33,5,5414,98,Yes
70,44,HR,15,2,8656,105,Yes
71,46,HR,34,1,11962,113,No
72,45,Marketing,32,1,12286,52,Yes
73,49,Marketing,20,3,8147,59,Yes
74,35,IT,19,3,14656,113,Yes
75,21,HR,7,4,14786,89,No
76,45,IT,25,1,7444,112,No
77,27,IT,32,3,10547,42,Yes
78,29,Operations,25,2,12423,40,Yes
79,44,Finance,29,4,4446,106,No
80,21,HR,30,5,5402,25,Yes
81,28,Marketing,32,3,8642,58,No
82,44,Marketing,10,3,4826,104,No
83,31,Finance,4,1,10918,48,No
84,37,HR,1,4,6847,115,No
85,28,Marketing,12,1,4092,63,Yes
86,55,Marketing,17,1,7677,4,No
87,55,Operations,25,4,4720,43,Yes
88,53,IT,24,2,3882,17,Yes
89,25,Marketing,13,3,3123,56,No
90,59,HR,4,1,6490,88,No
91,48,Finance,1,3,14786,111,No
92,27,Operations,3,4,8797,104,No
93,29,HR,11,2,3602,39,No
94,28,Operations,10,5,6831,101,Yes
95,32,IT,3,2,8460,112,No
96,54,Marketing,8,4,11496,45,No
97,53,HR,9,2,9946,57,Yes
98,43,Finance,26,5,6228,84,No
99,44,IT,5,1,14351,23,Yes
100,57,IT,14,2,12443,27,No
101,55,Operations,30,4,12128,45,Yes
102,42,IT,21,2,9508,67,Yes
103,47,HR,5,5,14909,71,No
104,55,Operations,32,4,5313,53,No
105,21,IT,28,2,13323,112,Yes
106,55,Finance,20,4,14475,32,No
107,57,HR,29,5,6289,66,Yes
108,34,Finance,20,1,9996,112,Yes
109,23,Finance,21,5,7844,83,Yes
110,21,Operations,19,1,5198,34,Yes
111,25,Marketing,21,3,11877,38,Yes
112,46,Operations,10,5,7235,106,No
113,34,HR,30,1,11246,46,Yes
114,59,HR,12,3,6212,70,No
115,47,Operations,17,3,7169,90,No
116,29,Marketing,21,3,6206,4,Yes
117,35,Operations,16,4,14147,112,No
118,35,HR,24,5,13136,36,Yes
119,46,Marketing,31,5,3641,0,No
120,33,HR,14,5,7839,85,No
121,52,Marketing,12,5,9169,55,Yes
122,59,Marketing,25,4,10655,6,Yes
123,52,Operations,10,5,3061,112,No
124,24,Operations,12,1,4223,63,No
125,50,Operations,32,3,13729,7,No
126,57,Marketing,0,4,3492,107,Yes
127,43,Marketing,26,4,9822,93,Yes
128,59,HR,31,5,9611,63,No
129,35,Finance,14,3,4139,56,Yes
130,49,Operations,30,1,8490,27,Yes
131,56,HR,5,3,9794,25,No
132,33,HR,24,2,4255,33,Yes
133,52,IT,17,3,5495,112,No
134,27,Operations,21,1,6285,95,No
135,42,HR,30,1,5255,21,Yes
136,48,IT,8,1,12193,19,Yes
137,22,Operations,2,4,4125,13,No
138,26,Marketing,32,4,6881,22,No
139,48,IT,26,2,7105,66,Yes
140,48,Marketing,0,3,14736,18,No
141,40,Finance,8,5,4146,77,No
142,50,Finance,4,2,3786,103,Yes
143,31,Finance,14,5,13243,38,Yes
144,48,Finance,8,5,3258,36,No
145,45,HR,27,2,6849,98,No
146,59,Finance,12,3,9430,0,No
147,53,HR,23,5,9174,18,No
148,21,HR,9,4,7616,14,No
149,47,Operations,21,4,11180,88,Yes
150,33,HR,21,2,3715,0,No
151,23,HR,19,5,4643,30,No
152,59,Finance,9,2,3123,100,No
153,26,HR,9,4,4773,51,No
154,28,Marketing,25,2,12113,42,Yes
155,47,Finance,24,5,5177,45,No
156,29,IT,27,5,9889,85,No
157,57,Finance,12,4,4503,49,No
158,53,HR,14,1,8661,19,No
159,44,Marketing,5,1,10094,104,Yes
160,35,Finance,11,3,13044,61,Yes
161,52,Marketing,18,4,5124,110,No
162,52,IT,31,3,6254,42,Yes
163,44,IT,10,4,5413,4,No
164,32,Operations,32,5,7387,78,Yes
165,59,Operations,1,4,9089,119,Yes
166,22,Finance,14,2,8833,65,Yes
167,23,Operations,4,3,3156,11,Yes
168,57,Marketing,14,4,12315,56,No
169,37,Operations,9,3,8003,59,Yes
170,22,Marketing,16,4,8753,54,Yes
171,22,Operations,33,1,3917,70,Yes
172,48,Operations,23,3,9253,65,Yes
173,43,Operations,9,5,4702,71,No
174,57,HR,29,5,4665,72,No
175,52,HR,2,4,8389,26,No
176,53,Operations,2,5,10163,27,No
177,21,Marketing,4,5,8807,36,No
178,39,Finance,27,3,5111,78,Yes
179,22,IT,13,4,6714,18,No
180,46,HR,10,3,13746,93,Yes
181,52,Operations,7,4,9983,50,Yes
182,26,IT,7,5,8110,12,Yes
183,52,HR,11,4,14216,44,No
184,24,Finance,14,4,14028,5,Yes
185,31,Marketing,18,2,5397,93,Yes
186,37,Operations,27,4,13386,0,Yes
187,58,Finance,6,2,8454,105,Yes
188,44,HR,6,3,4555,101,No
189,25,Operations,29,2,14817,24,Yes
190,54,IT,17,3,14101,98,Yes
191,26,Marketing,23,4,7502,25,No
192,42,HR,5,3,3343,12,No
193,31,Marketing,3,5,4544,18,No
194,36,Operations,2,4,6996,9,Yes
195,53,Finance,5,2,9848,44,Yes
196,29,Marketing,25,1,14010,70,Yes
197,26,IT,10,4,11230,14,No
198,36,HR,28,5,7382,86,No
199,49,IT,19,3,11046,99,Yes
200,23,Marketing,9,2,7986,106,No
201,40,Finance,25,2,6423,30,No
202,56,Finance,26,5,12220,7,No
203,39,IT,13,5,3235,29,No
204,46,Operations,11,4,10993,97,Yes
205,23,Operations,22,1,12160,96,Yes
206,39,Finance,20,1,8224,0,Yes
207,40,IT,7,3,4230,15,Yes
208,52,IT,8,2,3238,113,Yes
209,27,IT,23,4,13046,10,No
210,53,Marketing,30,2,7924,26,Yes
211,59,Operations,24,4,3051,85,Yes
212,38,Operations,16,5,13347,39,No
213,21,Marketing,28,3,12572,82,No
214,31,HR,2,5,4056,43,No
215,48,Marketing,20,2,11213,69,No
216,45,IT,7,3,11498,119,No
217,43,Marketing,13,4,10609,56,No
218,51,IT,15,4,5609,47,No
219,50,Finance,17,3,6600,39,No
220,55,IT,30,5,4965,38,Yes
221,27,Operations,10,3,9532,83,No
222,36,Marketing,19,5,6578,2,No
223,46,IT,3,3,8561,54,Yes
224,22,HR,19,5,5543,0,Yes
225,21,Finance,30,1,3504,22,Yes
226,32,HR,19,3,11328,101,No
227,25,HR,10,5,8084,66,Yes
228,57,HR,0,2,12494,61,Yes
229,52,Finance,17,2,7014,114,No
230,29,Finance,32,3,9307,33,Yes
231,55,Finance,17,3,6614,16,Yes
232,39,Finance,30,4,8142,47,No
233,36,HR,34,5,9071,90,Yes
234,23,Operations,14,3,7806,52,No
235,40,Operations,5,2,3506,60,Yes
236,44,Finance,7,2,12725,102,Yes
237,53,Marketing,21,2,14833,86,Yes
238,44,IT,0,5,7003,101,No
239,31,Marketing,12,1,11899,10,Yes
240,28,Marketing,23,3,12815,14,Yes
241,56,Marketing,20,1,10611,89,Yes
