EmployeeID,Age,Department,YearsExperience,PerformanceScore,MonthlySalary,TrainingHours,PromotionLast5Years,,,
1,27,HR,11,1,14796,74,No,,,
2,52,IT,20,2,12372,108,Yes,,,
3,25,Finance,34,1,12027,62,No,,,
4,41,Marketing,12,2,13457,34,Yes,,,
5,50,HR,15,5,11908,104,No,,,
6,40,Marketing,31,3,14284,42,Yes,,,0
7,49,Marketing,27,3,8214,59,No,,,
8,44,IT,4,1,11689,65,Yes,,,
9,21,Operations,14,1,11452,87,No,,,
10,45,IT,14,3,4553,114,Yes,,,
11,47,Marketing,19,1,4460,10,No,,,
12,45,Operations,13,4,5481,4,Yes,,,
13,41,Operations,26,2,8739,55,No,,,
14,37,Finance,33,3,7696,110,Yes,,,
15,48,HR,15,5,13599,115,No,,,
16,52,Operations,5,5,11843,30,Yes,,,
17,54,Operations,34,3,4296,119,Yes,,,
18,42,HR,34,5,5684,110,Yes,,,
19,39,Finance,2,2,14772,71,Yes,,,
20,28,Operations,32,2,10040,87,Yes,,,
21,22,Finance,23,3,10193,68,Yes,,,
22,25,Finance,0,3,7283,114,Yes,,,
23,48,Operations,18,1,9854,102,Yes,,,
24,24,HR,23,5,10951,113,Yes,,,
25,56,Finance,10,1,11340,41,No,,,
26,21,HR,16,5,5754,61,No,,,
27,35,Marketing,31,4,10874,65,Yes,,,
28,33,Operations,25,4,4590,81,Yes,,,
29,51,IT,25,2,13859,117,Yes,,,
30,37,Operations,30,1,9320,113,Yes,,,
31,26,HR,7,4,4889,43,No,,,
32,44,Operations,8,3,11610,48,No,,,
33,33,Marketing,17,1,10362,29,Yes,,,
34,41,Finance,26,3,11362,56,No,,,
35,44,IT,4,2,11661,50,No,,,
36,42,HR,9,2,12286,0,No,,,
37,49,HR,16,3,3582,119,No,,,
38,44,IT,5,4,9621,11,Yes,,,
39,32,Operations,5,2,14378,1,No,,,
40,40,IT,4,5,6963,43,No,,,
41,54,HR,2,4,7944,92,No,,,
42,35,Operations,30,4,13039,77,No,,,
43,24,HR,18,1,3678,104,No,,,
44,34,HR,15,5,12928,111,Yes,,,
45,21,Marketing,29,4,9152,59,No,,,
46,53,Finance,29,4,7011,114,No,,,
47,49,Finance,15,2,7301,82,Yes,,,
48,30,IT,23,4,13021,89,No,,,
49,56,Operations,7,3,4351,47,No,,,
50,34,HR,0,5,11421,51,No,,,
51,42,Finance,2,5,12737,77,No,,,
52,53,IT,11,5,13927,78,No,,,
53,48,Operations,8,5,14275,79,Yes,,,
54,27,Operations,28,2,11407,105,No,,,
55,56,Operations,27,1,5292,14,Yes,,,
56,56,IT,3,1,9245,67,Yes,,,
57,54,HR,6,2,7212,73,No,,,
58,57,IT,8,4,4026,104,Yes,,,
59,26,IT,25,3,6360,99,Yes,,,
60,55,Marketing,1,2,4787,36,No,,,
61,47,Marketing,24,4,9374,34,Yes,,,
62,50,Operations,1,4,9529,36,Yes,,,
63,52,Marketing,2,1,14985,63,No,,,
64,39,HR,14,2,9282,101,Yes,,,
65,42,HR,23,1,13586,108,Yes,,,
66,41,Marketing,15,2,11881,115,No,,,
67,25,Finance,4,1,6560,38,Yes,,,
68,41,Operations,0,3,4748,13,No,,,
69,40,Operations,15,4,6324,40,Yes,,,
70,58,Operations,17,3,14562,105,Yes,,,
71,51,Operations,6,1,3240,12,No,,,
72,57,HR,20,3,7430,110,No,,,
73,26,HR,29,3,10255,40,Yes,,,
74,51,Operations,18,2,8755,76,No,,,
75,44,Finance,22,5,12771,61,No,,,
76,38,IT,4,4,3318,33,Yes,,,
77,49,Operations,20,3,11728,66,Yes,,,
78,32,HR,31,3,8370,37,No,,,
79,32,HR,18,3,11739,109,No,,,
80,49,IT,34,5,4111,55,No,,,
81,27,IT,19,5,10451,7,Yes,,,
82,36,Finance,10,2,14004,24,Yes,,,
83,32,HR,6,5,11042,48,No,,,
84,41,IT,26,5,6404,0,Yes,,,
85,24,HR,19,3,13844,47,Yes,,,
86,37,Finance,14,1,12393,31,No,,,
87,48,HR,12,1,9862,33,No,,,
